day,avg_price,supply_demand_ratio,bid_thermal_count,total_trade_mwh,max_price,min_price
20260323,309.948063436656,2.737064367019622,17,1220.919502502566,854.9642336842105,230.18632
20260324,446.4226283565815,2.905675200834874,17,1294.104849892039,854.9642336842105,0
20260325,201.697269969625,2.244878047174183,19,1370.425079308729,854.1030863157896,226.6992
20260326,189.8285706404431,2.188650677392728,18,1471.502744866039,854.1617094736841,227.08504
20260327,227.7936580047768,2.19643078960617,19,1457.514259414746,854.88856,231.30016
20260328,203.4862332971164,2.177454887776905,21,1418.664496102187,854.88856,222.24384
20260329,276.6275453051172,2.420881364120993,17,1410.55616977514,854.88856,0
20260330,252.6107495172722,2.804236339735726,16,1155.479021294635,854.88856,242.88264
20260331,305.4928376492845,2.909085318821026,16,1166.424570107479,854.88856,0
20260401,245.7095405907591,2.244428458239788,19,1497.374470510872,854.88856,0
