day,period,price,load_MW,thermal_MW,wind_MW,solar_MW,hydro_MW,sdr
20260121,42,246.16228,7745.813550113682,4640.571444850522,796.6105263157895,308.63157894736844,2000.0,0.9999999999999998
20260121,43,246.16228,7726.244820802104,4668.092189223156,742.8631578947368,315.2894736842106,2000.0,1.0
20260121,44,246.56632,7706.676091490527,4695.612933595789,689.1157894736846,321.9473684210526,2000.0,0.9999999999999999
20260121,45,246.56632,7687.107362178947,4723.133677968418,635.3684210526314,328.6052631578948,2000.0,0.9999999999999997
20260121,46,246.56632,7678.599219,4733.388692684208,593.936842105263,351.2736842105263,2000.0,0.9999999999999997
20260121,47,246.56632,7678.599219,4730.362376894735,561.9789473684211,386.257894736842,2000.0,0.9999999999999998
20260121,48,246.56632,7678.599219,4727.336061105261,530.0210526315789,421.2421052631579,2000.0,0.9999999999999998
20260121,49,246.56632,7678.599219,4724.309745315788,498.0631578947369,456.2263157894737,2000.0,0.9999999999999999
20260121,50,246.56632,7678.599219,4734.96764005263,456.42105263157913,487.2105263157894,2000.0,0.9999999999999998
20260121,51,246.56632,7678.599219,4763.415008473683,402.1894736842103,512.9947368421052,2000.0,0.9999999999999999
20260121,52,246.56632,7678.599219,4791.862376894736,347.9578947368421,538.7789473684211,2000.0,1.0
20260121,53,246.56632,7678.599219,4820.309745315788,293.7263157894738,564.5631578947368,2000.0,0.9999999999999999
20260121,54,246.56632,7666.687818549475,4832.019397496843,271.3263157894738,563.3421052631578,2000.0,0.9999999999999999
20260121,55,246.56632,7627.550359926316,4805.471412557895,321.6842105263158,500.3947368421052,2000.0,1.0
20260121,56,246.56632,7588.412901303158,4778.9234276189445,372.0421052631578,437.44736842105283,2000.0,0.9999999999999997
20260121,57,246.56632,7549.275442679999,4752.375442679998,422.4000000000002,374.4999999999998,2000.0,0.9999999999999999
20260121,58,246.56632,7520.34775587158,4738.605650608421,460.67368421052646,321.0684210526316,2000.0,0.9999999999999998
20260121,59,246.56632,7539.916485183158,4785.532274656844,441.5473684210525,312.8368421052632,2000.0,1.0000000000000002
20260121,60,246.56632,7559.485214494736,4832.458898705266,422.4210526315788,304.6052631578947,2000.0,1.0000000000000004
20260121,61,247.6801600000001,7579.053943806315,4879.385522753684,403.2947368421052,296.3736842105264,2000.0,1.0000000000000002
20260121,62,247.6801600000001,7602.0259303894745,4927.883825126315,387.3052631578946,286.8368421052633,2000.0,0.9999999999999999
20260121,63,247.6801600000001,7699.869576947367,5010.95905063158,440.3263157894738,248.58421052631573,2000.0,1.0000000000000002
20260121,64,248.00412,7797.713223505263,5094.034276136841,493.34736842105275,210.3315789473684,2000.0,0.9999999999999999
20260121,65,248.794,7895.556870063156,5177.109501642104,546.3684210526314,172.0789473684211,2000.0,1.0000000000000002
20260121,66,248.794,7993.400516621051,5260.1847271473725,599.3894736842108,133.8263157894735,2000.0,1.0000000000000007
20260121,67,249.84596,8019.77576047579,5337.9968131073665,579.021052631579,102.75789473684229,2000.0,0.9999999999999997
20260121,68,250.2500000000001,8039.344489787368,5415.307647682105,551.6631578947367,72.37368421052636,2000.0,1.0000000000000002
20260121,69,251.6878,8058.913219098948,5492.618482256842,524.3052631578944,41.989473684210424,2000.0,1.0
20260121,70,253.52964,8078.481948410526,5569.929316831578,496.94736842105283,11.60526315789492,2000.0,1.0
20260121,71,253.52964,8082.73602,5556.230756842099,522.4526315789473,4.05263157894737,2000.0,0.9999999999999992
20260121,72,253.33308,8082.73602,5517.251809473682,562.6421052631581,2.84210526315789,2000.0,0.9999999999999997
20260121,73,251.6878,8082.73602,5478.27286210526,602.8315789473681,1.631578947368429,2000.0,0.9999999999999996
20260121,74,251.51126,8082.73602,5439.293914736837,643.0210526315792,0.4210526315789487,2000.0,0.9999999999999994
20260121,75,249.84596,8031.687160926316,5372.476634610526,659.2105263157896,0.0,2000.0,1.0
20260121,76,248.794,7953.412243680001,5290.81224368,662.5999999999999,0.0,2000.0,1.0
20260121,77,248.794,7875.1373264336835,5209.147852749473,665.9894736842105,0.0,2000.0,1.0
20260121,78,248.40816,7796.862409187368,5127.483461818947,669.3789473684211,0.0,2000.0,1.0
20260121,79,248.00412,7708.377720126317,5043.946141178947,664.4315789473684,0.0,2000.0,0.9999999999999998
20260121,80,247.6801600000001,7610.534073568422,4958.691968305264,651.8421052631577,0.0,2000.0,0.9999999999999999
20260121,81,246.56632,7512.690427010524,4873.437795431576,639.2526315789474,0.0,2000.0,0.9999999999999999
20260121,82,246.56632,7414.846780452629,4788.183622557895,626.6631578947367,0.0,2000.0,1.0000000000000004
20260121,83,246.16228,7294.031147311578,4656.652199943156,637.378947368421,0.0,2000.0,0.9999999999999999
20260121,84,244.72448,7137.481312818949,4453.133944397892,684.3473684210528,0.0,2000.0,0.9999999999999994
20260121,85,244.32044,6980.931478326318,4249.615688852631,731.3157894736838,0.0,2000.0,0.9999999999999996
20260121,86,242.88264,6824.381643833685,4046.097433307369,778.2842105263157,0.0,2000.0,1.0
20260121,87,240.99712,6657.622037526315,3847.3378269999976,810.2842105263157,0.0,2000.0,0.9999999999999998
20260121,88,239.88328,6461.934744410529,3662.061060200003,799.8736842105263,0.0,2000.0,1.0000000000000002
20260121,89,238.76944,6266.247451294737,3476.7842934000028,789.4631578947369,0.0,2000.0,1.0000000000000002
20260121,90,235.51528,6070.560158178947,3291.5075266000003,779.0526315789475,0.0,2000.0,1.0000000000000002
20260121,91,237.35712,5874.872865063157,3103.957075589478,770.9157894736842,0.0,2000.0,1.0000000000000007
20260121,92,238.76944,5679.185571947369,2901.248729842107,777.9368421052633,0.0,2000.0,1.0000000000000002
20260121,93,233.67344,5483.498278831577,2698.540384094737,784.9578947368423,0.0,2000.0,1.0000000000000002
20260121,94,233.67344,5287.810985715791,2495.832038347371,791.9789473684211,0.0,2000.0,1.0000000000000004
20260121,95,853.618774736842,5093.684210526314,2294.684210526315,798.9999999999999,0.0,2000.0,1.0000000000000002
20260122,0,233.67344,5823.046380000002,2950.046380000003,873.0,0.0,2000.0,1.0000000000000002
20260122,1,232.414,5738.87980231579,2863.700854947372,875.1789473684208,0.0,2000.0,1.0000000000000004
20260122,2,231.30016,5654.713224631579,2777.355329894738,877.3578947368421,0.0,2000.0,1.0000000000000002
20260122,3,229.07248,5570.5466469473695,2691.009804842107,879.5368421052631,0.0,2000.0,1.0000000000000002
20260122,4,227.95864,5486.380069263158,2604.664279789475,881.7157894736841,0.0,2000.0,1.0000000000000002
20260122,5,227.95864,5420.51057368421,2560.615836842106,859.8947368421053,0.0,2000.0,1.0000000000000004
20260122,6,226.8448,5357.385640421052,2522.911956210527,834.4736842105262,0.0,2000.0,1.0000000000000002
20260122,7,226.8448,5294.260707157894,2485.208075578949,809.0526315789475,0.0,2000.0,1.0000000000000004
20260122,8,853.98584,5235.401662049858,2451.7700831024913,783.6315789473683,0.0,2000.0,1.0000000000000004
20260122,9,853.98584,5208.642659279777,2450.432132963988,758.2105263157894,0.0,2000.0,1.0
20260122,10,853.98584,5181.883656509693,2449.094182825484,732.7894736842104,0.0,2000.0,1.0000000000000004
20260122,11,225.73096,5157.03259136842,2449.664170315791,707.3684210526316,0.0,2000.0,1.0000000000000004
20260122,12,225.73096,5135.99094694737,2454.043578526318,681.9473684210527,0.0,2000.0,1.0000000000000002
20260122,13,853.98584,5169.551246537392,2448.477562326869,721.0736842105265,0.0,2000.0,1.0000000000000007
20260122,14,853.98584,5254.415512465369,2452.720775623267,801.694736842105,0.0,2000.0,1.0000000000000004
20260122,15,853.98584,5339.2797783933465,2456.963988919667,882.3157894736842,0.0,2000.0,1.0000000000000009
20260122,16,853.98584,5424.144044321326,2461.207202216065,962.9368421052632,0.0,2000.0,1.0000000000000004
20260122,17,853.98584,5440.0221606648165,2462.00110803324,978.021052631579,0.0,2000.0,1.0000000000000004
20260122,18,853.98584,5380.642659279775,2459.0321329639883,921.6105263157895,0.0,2000.0,1.0000000000000004
20260122,19,853.98584,5321.263157894734,2456.063157894736,865.2,0.0,2000.0,1.0000000000000004
20260122,20,853.98584,5261.883656509692,2453.0941828254827,808.7894736842106,0.0,2000.0,1.0000000000000004
20260122,21,218.26168,5317.132059789473,2547.7425861052643,769.3894736842105,0.0,2000.0,1.0000000000000004
20260122,22,238.76944,5611.715081684211,2849.830871157895,761.8842105263158,0.0,2000.0,1.0
20260122,23,232.414,5906.298103578948,3151.9191562105248,754.3789473684209,0.0,2000.0,0.9999999999999996
20260122,24,239.88328,6200.881125473687,3454.007441263162,746.8736842105262,0.0,2000.0,1.0000000000000002
20260122,25,240.99712,6486.31560631579,3747.841922105263,738.3684210526316,0.1052631578947363,2000.0,0.9999999999999999
20260122,26,243.2248,6738.815339368421,4011.9627077894725,726.2631578947369,0.5894736842105265,2000.0,0.9999999999999999
20260122,27,244.33864,6991.315072421053,4276.083493473687,714.1578947368421,1.073684210526316,2000.0,1.0000000000000002
20260122,28,246.16228,7243.814805473686,4540.204279157892,702.0526315789474,1.557894736842105,2000.0,0.9999999999999994
20260122,29,244.33864,7490.825413894736,4795.614887578946,691.9473684210525,3.2631578947368465,2000.0,0.9999999999999999
20260122,30,245.45248,7680.200213684209,4959.568634736839,702.842105263158,17.78947368421055,2000.0,0.9999999999999999
20260122,31,246.16228,7869.575013473681,5123.522381894732,713.7368421052631,32.3157894736842,2000.0,0.9999999999999998
20260122,32,246.56632,8058.949813263161,5287.476129052632,724.6315789473686,46.84210526315791,2000.0,0.9999999999999997
20260122,33,247.36712,8248.324613052633,5451.429876210526,735.5263157894738,61.368421052631604,2000.0,0.9999999999999998
20260122,34,247.36712,8276.68509031579,5465.948248210525,707.7473684210527,102.9894736842105,2000.0,0.9999999999999998
20260122,35,247.36712,8297.726734736843,5473.674103157894,678.2105263157897,145.8421052631578,2000.0,0.9999999999999998
20260122,36,247.36712,8318.768379157893,5481.399958105261,648.6736842105264,188.6947368421054,2000.0,1.0
20260122,37,247.6801600000001,8339.810023578948,5489.125813052632,619.1368421052632,231.5473684210526,2000.0,1.0
20260122,38,247.6801600000001,8343.46944,5484.3694399999995,601.8,257.3,2000.0,1.0
20260122,39,247.36712,8343.46944,5476.985229473685,587.0315789473683,279.4526315789474,2000.0,1.0
20260122,40,247.36712,8343.46944,5469.60101894737,572.2631578947368,301.6052631578948,2000.0,1.0
20260122,41,247.36712,8343.46944,5462.2168084210525,557.4947368421052,323.757894736842,2000.0,1.0
20260122,42,247.36712,8328.83177431579,5415.268616421052,549.1263157894737,364.4368421052633,2000.0,1.0
20260122,43,246.56632,8307.790129894738,5351.011182526316,543.5578947368421,413.22105263157897,2000.0,0.9999999999999998
20260122,44,246.56632,8286.748485473683,5286.753748631576,537.9894736842106,462.0052631578946,2000.0,0.9999999999999998
20260122,45,246.56632,8265.706841052632,5222.49631473684,532.421052631579,510.78947368421075,2000.0,0.9999999999999998
20260122,46,246.25328,8256.5583,5207.010931578944,523.8421052631579,525.7052631578948,2000.0,0.9999999999999996
20260122,47,246.56632,8256.5583,5229.042510526312,512.9473684210526,514.5684210526316,2000.0,0.9999999999999996
20260122,48,246.56632,8256.5583,5251.074089473681,502.0526315789472,503.43157894736834,2000.0,0.9999999999999996
20260122,49,246.56632,8256.5583,5273.105668421049,491.1578947368421,492.29473684210535,2000.0,0.9999999999999996
20260122,50,246.56632,8256.5583,5291.031984210524,483.63157894736844,481.8947368421053,2000.0,0.9999999999999996
20260122,51,246.56632,8256.5583,5303.621457894732,480.48421052631574,472.4526315789474,2000.0,0.9999999999999993
20260122,52,246.56632,8256.5583,5316.210931578944,477.33684210526303,463.0105263157895,2000.0,0.9999999999999996
