day,unit_id,plant_name,mc,alpha_phys,alpha_pred,markup,sec1_price,sec10_price,bs3_sec1,sdr,pred_spike
20260326,Thermal_3,G14,191.38,-0.07671608280877441,0.0031405822186885207,-0.05,226.83097,236.3543,238.76944,2.188650677392728,0.09375
20260326,Thermal_4,G14,191.38,-0.07671608280877441,0.0031405822186885207,-0.05,226.83097,236.3543,238.76944,2.188650677392728,0.09375
20260326,Thermal_5,G14,191.38,-0.07671608280877441,0.0031405822186885207,-0.05,226.83097,236.3543,238.76944,2.188650677392728,0.09375
20260326,Thermal_6,G14,191.38,-0.07671608280877441,0.0031405822186885207,-0.05,226.83097,236.3543,238.76944,2.188650677392728,0.09375
20260327,Thermal_3,G14,191.38,-0.08979393697950469,2.482978374120704e-05,-0.05,226.83097,236.3543,238.76944,2.19643078960617,0.14583333333333334
20260327,Thermal_4,G14,191.38,-0.08979393697950469,2.482978374120704e-05,-0.05,226.83097,236.3543,238.76944,2.19643078960617,0.14583333333333334
20260327,Thermal_5,G14,191.38,-0.08979393697950469,2.482978374120704e-05,-0.05,226.83097,236.3543,238.76944,2.19643078960617,0.14583333333333334
20260327,Thermal_6,G14,191.38,-0.08979393697950469,2.482978374120704e-05,-0.05,226.83097,236.3543,238.76944,2.19643078960617,0.14583333333333334
20260328,Thermal_3,G14,191.38,-0.08510824358346823,-0.0007722658454305881,-0.05,226.83097,236.3543,238.76944,2.177454887776905,0.125
20260328,Thermal_4,G14,191.38,-0.08510824358346823,-0.0007722658454305881,-0.05,226.83097,236.3543,238.76944,2.177454887776905,0.125
20260328,Thermal_5,G14,191.38,-0.08510824358346823,-0.0007722658454305881,-0.05,226.83097,236.3543,238.76944,2.177454887776905,0.125
20260328,Thermal_6,G14,191.38,-0.08510824358346823,-0.0007722658454305881,-0.05,226.83097,236.3543,238.76944,2.177454887776905,0.125
20260329,Thermal_3,G14,191.38,-0.09410617241189773,-0.0013862512634787803,-0.05,226.83097,236.3543,238.76944,2.420881364120993,0.21875
20260329,Thermal_4,G14,191.38,-0.09410617241189773,-0.0013862512634787803,-0.05,226.83097,236.3543,238.76944,2.420881364120993,0.21875
20260329,Thermal_5,G14,191.38,-0.09410617241189773,-0.0013862512634787803,-0.05,226.83097,236.3543,238.76944,2.420881364120993,0.21875
20260329,Thermal_6,G14,191.38,-0.09410617241189773,-0.0013862512634787803,-0.05,226.83097,236.3543,238.76944,2.420881364120993,0.21875
20260330,Thermal_3,G14,191.38,-0.059215529346098104,0.0012220199124344834,-0.05,226.83097,236.3543,238.76944,2.804236339735726,0.2708333333333333
20260330,Thermal_4,G14,191.38,-0.059215529346098104,0.0012220199124344834,-0.05,226.83097,236.3543,238.76944,2.804236339735726,0.2708333333333333
20260330,Thermal_5,G14,191.38,-0.059215529346098104,0.0012220199124344834,-0.05,226.83097,236.3543,238.76944,2.804236339735726,0.2708333333333333
20260330,Thermal_6,G14,191.38,-0.059215529346098104,0.0012220199124344834,-0.05,226.83097,236.3543,238.76944,2.804236339735726,0.2708333333333333
20260331,Thermal_3,G14,191.38,-0.06711020174884876,0.0012220199124344834,-0.05,226.83097,236.3543,238.76944,2.909085318821026,0.3333333333333333
20260331,Thermal_4,G14,191.38,-0.06711020174884876,0.0012220199124344834,-0.05,226.83097,236.3543,238.76944,2.909085318821026,0.3333333333333333
20260331,Thermal_5,G14,191.38,-0.06711020174884876,0.0012220199124344834,-0.05,226.83097,236.3543,238.76944,2.909085318821026,0.3333333333333333
20260331,Thermal_6,G14,191.38,-0.06711020174884876,0.0012220199124344834,-0.05,226.83097,236.3543,238.76944,2.909085318821026,0.3333333333333333
20260401,Thermal_3,G14,191.38,-0.06421055628854323,0.0013208761421417848,-0.05,226.83097,236.3543,238.76944,2.244428458239788,0.23958333333333334
20260401,Thermal_4,G14,191.38,-0.06421055628854323,0.0013208761421417848,-0.05,226.83097,236.3543,238.76944,2.244428458239788,0.23958333333333334
20260401,Thermal_5,G14,191.38,-0.06421055628854323,0.0013208761421417848,-0.05,226.83097,236.3543,238.76944,2.244428458239788,0.23958333333333334
20260401,Thermal_6,G14,191.38,-0.06421055628854323,0.0013208761421417848,-0.05,226.83097,236.3543,238.76944,2.244428458239788,0.23958333333333334
